,text,Ans
63,dear rain suck gotta change plan tonight,negative
64,starbucks love eff school work later too,neutral
65,cried whilst watching hollyoaks  need life lol,positive
66,hi all recovering party looking forward exciting bank holiday around diy shopslife cant get much bettersurely,neutral
67,terminator salvation myself,neutral
68,fortheloss dumbface him u u wknd wanna seeeeeee ya,negative
69,enter registration detail every time update,neutral
70,monday wont able you love,neutral
71,ur cuteim fan dream little dream kiss appearance like dawsons creek make flicks,neutral
72,tgif righti think broke toe last night  bad foot,neutral
73,oherr its soon then plans party saturday x,neutral
74,lamont yr young looking dude,neutral
75, hmmm wrong link ignore tweet,neutral
76,att cheated system green day ticket  att,neutral
77,tracy berwick break achy breaky heart split way hallways,neutral
78,yep wish playing dubiln,neutral
79,im lady lady dont move couches direct couch go,neutral
80,yay block party youre bomb blockhead  dave thanks supporting nkotb,neutral
81,th february,neutral
82,guess what mom adopted kitty today  months name corky,negative
83,happy birthday snickers  hope best day ever lets go shopping,neutral
84,thank you im working s,neutral
85,lol man got    hr iont woulda made wit ramen noodle tv time,negative
86,feeling well today,neutral
87,httptwitpiccomwps  ear hurts medicine gum,neutral
88,berland lmao know know,neutral
89,gnight shar  vega ,neutral
90,underwire bra sticking poking armpit,neutral
91,happy mother day,negative
92,yes,neutral
93,cant call mitch im sweden,neutral
94,happy star war day may fourth,neutral
95,excited eat wartermelon bought day terrible sweet,neutral
96,watched marley  mei cried hard,neutral
97,take antibacterial school clean hand cant go loo,neutral
98,im leaving work now trying decide return sunday afternoon monday  meet noon uk time deadline,neutral
99,haaawwell get class i hope make,positive
100,oooh sunshine patch sunshine gone time leave work replaced rain vent,neutral
101,skype call billie webcam dont work,neutral
102,great study time followed delicious japanese meal arty now trying get back study mood,positive
103,fml car prohibiting finding job,neutral
104,lol since got twitter little ago seems like load people setting account,positive
105,want see david cook,neutral
106,yeh ,neutral
107,learning tat scenic way din plan go town somehow herded there,neutral
108,dont want anything specific want see puppy,neutral
109,yeah need fricken cell number ive tried home month he busy miss braddddddddd,neutral
110,toy story  trailer premiered up need computer back,neutral
111,ughh phone hp,neutral
112,and hand made dan  jenn sock blocker  made exotic wood  one called purple heart,neutral
113,yay breaking ,neutral
114,bahah sadly,neutral
115,always champion league party ti awesome,neutral
116,well all stay away kind surround dont happy mothers day ur mom treiz,positive
117,adel didnt reply yet wait till confirm case somebody might translated already,neutral
118,thats rough hubby knee surgery help end let u know results well keep prayer,negative
119,might go back much earlier expected bye bye bay area,neutral
120,playin city villains wishin buddy playin me,positive
121,yep  three things good haircut ability listen value taking seriously,neutral
122,riley hacked twitter hahaha ,neutral
123,big sad face bing doesnt work iphone take regular mobile live search,neutral
124,liked it record yourself soothing voice,neutral
125,man im sad school ending high school might better o,neutral
126,folk thought hilarious told story saw shirt wore tonight laughter night,negative
127,youre absoute best,neutral
128,oh god cried much watch guy bgt httpbitlytxz,neutral
129,near daily exercise starting show results,neutral
130,welcome,neutral
131,bout hit pmark make one final meal wit housemates,neutral
132, get go home go work,neutral
133,voted cmtcom,neutral
134,got home nice party tired yet,positive
135,sunburn,neutral
136,job nice day better,positive
137,wish could go bea weekend,neutral
138, rupert grint boy ive accepted tht fancy im certain doesnt feel worth telling,neutral
139,love book,neutral
140,ok eye doctor guy taking forever im sitting cold room myselfwhat jerk,neutral
141,im slowing tweetscuase lost phone,neutral
142,well thank phone me,negative
143,would take photo stuffed animals thats pretty funny,neutral
144,tweetdeck acting really strange hum reinstall maybe update horizon another adobe memory leak,neutral
145,tikcets eachbut want go,neutral
146,happy mother day,negative
147,its gonna hot today too today ryans last day prek cant believe it ive sahm since him,positive
148,dreaming weekend awake,neutral
149,oh  me ive returned supermarket doom find nothing drink here,negative
150,yay missed naptime,neutral
151,dgroup saturdays little bit football hour nap  hour soccer basketball tsu yogurtland lifes good,neutral
152,set new computer again min love norton ghost,neutral
153,ahhh mommie got new sheet bed comfy,neutral
154,celeste finally sleep silence,neutral
155,im   o im lazy thank god bank holiday,neutral
156,pretty dang tired chamber class napping,positive
157,poop hogging shitter,neutral
158,yes im  full dvr  like  day ago lol swear didnt dvr would never watch tv,neutral
159,happy muthaths day moms salute you,neutral
160,hahaha alright ,neutral
161,arent suppossed support local economy  lol  good congrats,neutral
162,good know thanks,neutral
163,you flavor day,neutral
164,weather let morningughhada gd nite tho,neutral
165,listened condre scr got invitation watch live concert june th munich httpbitlydaxa postrock,negative
166,elo wow brings back many happy memories love bandand yes know im showing age dont care,negative
167,thats cute picture  dont get fat licking bbqs  must found chop someone elses ,neutral
168,oh love sunday morning like  mum made scrambled egg toast,neutral
169,hate working sunnyboohoo,neutral
170,online httpplurkcompstjdg,positive
171,bundy  days warm weather come,neutral
172,wondering cld make thing worse already are answer did,negative
173,dutch marketing agency asking job applicant apply  character le httpwwwenergizenltwillicitatie,negative
174,twitter spoiled fun frustratingly slow couldnt even bid properly,neutral
175,chick haha completely agree,positive
176,dont pack cant leave right,neutral
177, lolwhere u headed to,neutral
178,going bed great night friend glad know feeling class someone else,neutral
179,many mine included ahem shld known better back then wldnt missed many opportunity haha,positive
180,its nice leave office sun still,positive
181,miss soccer mom,neutral
182,garlic pills spider bite toe lolclassic always hungry u killing  funny,positive
183,sighs ah well maybe second email clear get approved,neutral
184,missed tweet joe  time difference uk dont get fave supporter uk ,neutral
185,that came mind said it adapted familys vocabulary,neutral
186,looking forward body work today,negative
187,watched yes man bahaha movie messed,positive
188,sadly think know exactly put itin expired drawer thing life span le two year,neutral
189,much no unless one pillow end suffocating one sleeping next you,neutral
190,meeting best friend first thing morning gym omg still shocked hope get better soon,neutral
191,wow fastnext soderling ferrer gilles simon lost,negative
192,yup theory great reality beyond imagination also made planning knowing v fail,neutral
193,glad know ad display problem due firewall config yr office phew,neutral
194,woot,neutral
195,i dont like monday wish sunday cause thats fun day freaking jam little miss it,neutral
196,   httpbitlynack,neutral
197,waiting last movie finish test screening ghost girlfriend past glass wine lolly bag hand yay,negative
198,happy starwarsday may th you everyone paintball,neutral
199,must head back office,neutral
200,st joe dirty,neutral
201,httptwitpiccomwk  camping black butte lake,neutral
202,getting message add recieve them soz im new,neutral
203,hate life,positive
204,sick stomach headache wish someone could come rub temples,neutral
205, natalya gotta tell whats going on id call lost phone number broke blackberry,neutral
206,thought unfair  ppl  n got depressed haters,neutral
207,cry real tear,positive
208,brown holding onto one httptwitpiccomweh,neutral
209,panchitos burfday party tonight wish kiddo,negative
210,back town mac crashed its better,neutral
211,archie andrew thinking veronica,neutral
212,best thing life free x,negative
213,miss mom today best friend even though gone several yr still miss dearly happy mothers day,negative
214,watching blood  veoh episode  love musicwishing could watch live action old enough,neutral
215,bummer,positive
216,truth maxwell cant forget future father children,positive
217,httptwitpiccomjw racoon ate bread,neutral
218,sure let mom know fabulous think are almost mothers day,negative
219,inastory glad im one hes baby im terrified hell think were never coming back,negative
220,launch today teacher changed plan watched stupid move tesla,negative
221,its pleasant sooo rarely time kill,positive
222,thank you ooh see youve read desert island httpisgdysk great book,neutral
223,o lol tiz good song,neutral
224,working internet shop  dont think achieve goal uploading previously set time keep going,neutral
225,anix bought cheesecake ice cream last week thinking good sucked much im taking yours,neutral
226,cause frustration buddy,neutral
227,wright thank you return mack jam,neutral
228,ready saddenning depressing dullful upsetting dreadful weekend,neutral
229,sorry lack tweet ive buzy new vid saturday,positive
230,humble best going work paintball day soon fuel strips doubt,neutral
231,going bed cant take thiss longeerr maan u,neutral
232,morden be richards ill see youwe get back good luck,neutral
233,thanksi really appreciate that know hardest thing ever done,neutral
234,spent last hour signing yearbooks ill miss guys,neutral
235,love every little thing you,neutral
236,mobile stopped recieving text message again stoooopid thing,neutral
237,hi simon let know its done,negative
238,amazing night favorite lady friend,positive
239,oyler poor little woman smushed head,neutral
240,fixin clean house mom mothers day,negative
241,think people say save drama fo yo mama im sure even yo mama wouldnt wanna listen ur drama ode mothers day,neutral
242,hey thats school hate place,neutral
243,got  star pre wash failed rince,neutral
244,sister law left prom looked soo pretty tear around,neutral
245,follow,positive
246,bought three books yipee whos readtenbooksduringthesummer thing,neutral
247,im really bored brother went get permit stay roads jk lol feel like friend abandoned me except ,neutral
248, goodnight,neutral
249,themoon hiya hun its day dentist appointment ouchnotebook  feeling sick hows you,neutral
250,emily ahahha scare me would work,neutral
251,need change monitor,negative
252,know dude im reruns making jenny watch conversation lol havent online much,neutral
253, vote every day ,neutral
254,waled past quad want outside fun,neutral
255,rocked home maccas signing petition big bang tour au lol,neutral
256,think food ate made sick feel good,neutral
257,eagerly anticipating twitpics,neutral
258,lot task complete today first wecloming new member canadamigos social networking site wwwcanadamigoscom coffee,negative
259,want stay bed day go work instead sux,neutral
260,chillen trying figure thing gettin drunk,neutral
261,yay doctor interview back  doctors blood work,neutral
262,filming carnival music video reminds cherry festival used go back home ahhh memories,neutral
263,im siiiiiickkk dun feel good,neutral
264,propellerheads harddrive long while got music repo back shape felt nostalgic,neutral
265,glorious sunny day london town im drama school fighting people sword protecting romantically structured face,positive
266, feel sorry hope dnt cry nd time,negative
267,would wish severe migrains would stop docs prescription arent working,negative
268, full moon lovely friend family bday wish came true additiongray matter one cutest movie ever,neutral
269,life would suck without  kelly clarkson,neutral
270,revising exam,neutral
271,host next logies laughed bit really,neutral
272,hi jordan im gonna ui know ur busy know ur probably tired please reschedule nc dont leave u out,neutral
273,joy feel like red lea,neutral
274,id love think trek london would bit much,neutral
275,hey hey,neutral
276,think revising garden  morning without sunscreen isnt best idea ive oucccccccch,neutral
277,miserable feel like im gona cry sux,positive
278,know deliciousmiss germany like holland well used shoppin weekendslol,neutral
279,lol true maybe next year loooved siggy dont remember password mod thing cake,neutral
280,lol get watching hehe,neutral
281,hope great  certainly spent enough time studying,neutral
282,btw  downloaded iphone  sdk,positive
283,straighening hair going straight want bummerrr,neutral
284,need botox work lip im going change name angelina jolie its thought sad though racism,negative
285,me doctor laughs oh no no no cranes patient arkham aslyum work,negative
286,morning all great day school go,neutral
287,now weird mood muahaz,neutral
288,congrats photo dre,neutral
289,sanctuarysunday thanks joining sanctuarysunday follow sanctuary people keep date tweets,neutral
290,done disneyland kids knocked out stopped hotel bar grabbed grey goose  tonic way uppeace,neutral
291,ok lol miss too hope cramp get better know painful be,neutral
292,oh good review,neutral
293,mileycyrus wont let twitter keep saying twitter capacity something bird keep coming up,negative
294,im extremely hungry thing house soup dont like soup pouts,neutral
295,hilarious,negative
296,love guy standing behind,neutral
297,bout hit sackgot  tomorrow happy mother day mom,neutral
298,lost dc hat ,neutral
299,starting video editing first spanking movie mina  added next update,neutral
300,effect podcast audio version book isn plus added charm banter ,neutral
301,sunny synday morning nicole later usual mommy got sleep,neutral
302,browsing find everything university  interior design,neutral
303,tweeted sixteen days miss  ive fun though d ingrid mon frakking awesome bbq today,neutral
304,visit si fr joemar dito bataan frm camiguin  sum ofcmates supposed meet saturday cant luwas,negative
305,soo excited pasadena seminarif find confermation email,negative
306,ugh dont feel well sudden,neutral
307,want new phone ive seen much cellphone commercial ,neutral
308,well test theory right arm strum with got feelin ill humming new tune,negative
309,httptwitpiccomvuuy  thats cool,neutral
310,school  day  exited amazing premier,neutral
311,ti useful indeed esp newbie like me,negative
312,gonna go see sister mount sinai  shes least another  hours,neutral
313,handle tg,neutral
314,backe backe muffins,neutral
315,relaxing working mother day oh well good day had hope well,negative
316,lasttt mondayyy class,positive
317,yup join nin access fun,neutral
318,walked work thinking sitting bellagio time wednesday,neutral
319,unfair wanna go too,neutral
320,download movie a good day black  sexy httptinyurlcomckmkul cool movie,negative
321,jus got back run sunset blvd cuzin tried kill leg still movin im sittin down,neutral
322,aww thats sad miss seeing guy big screen,neutral
323,knooww  hot water bottle i whangamata without me ahhhhh,negative
324,eeeeep jealous  im work um u receive viva broadcast online plz,neutral
325,thank much phaoloo ,neutral
326,hotel thankful,neutral
327,watching gh feel bad carly omg  up,neutral
328,rofl thats like hear,neutral
329,ok im frustrated hella dust screen blackberry,neutral
330,anyone awake oh god dying here want go sleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep ,neutral
331,do long think next weekend open going house warming party,negative
332,change plans working inside bar tonight,negative
333,thanks following,neutral
334,well good luck then,neutral
335,work getting quick bite eat kill wrist self addressing  envolopes,neutral
336,arghhhhhhhhh cant keep twitterbones peep,neutral
337,undervote going im overalled,neutral
338,making german apple slice nom nom nom,positive
339,look like another night office lol,neutral
340,tummy hurt,neutral
341,got  hour sleep,neutral
342,anybody else experiencing painful slowdown facebook,neutral
343,lol people falconand boo one becca,neutral
344,really need earn money watch pcd concert,neutral
345,poor pirate last wisdom tooth looking really peaky,neutral
346,mozzer cancelled tonight look it,positive
347,waiting aaron get town leave work booo,neutral
348,morning tweat tweat twitter,neutral
349,headed home  charlies vet,neutral
350,wanna b malik taking stage,negative
351,going bed soon happy mother day mother  ryan le  week ,negative
352,bored bored bored wish something tomorrow especially weather were have fair,negative
353,well even breakdown better act unfortunately britains got little talent,negative
354,go leeds shopping,neutral
355,sadly cant view site due region restriction,negative
356,its  h im still officereally tiredwanna go home,neutral
357,aly  aj new album summer yay,neutral
358,day  awwwww fun fam boo boo,neutral
359,name,neutral
360,mexican coca cola bottle new favorite thing high fructose corn syrup sugar awesomely old school,neutral
361,got people dont let skip sci pratical becos skola impt dont waste parent money nt fair,neutral
362,nothing witty say,neutral
363,too,neutral
364,hi ho hi ho its work go,neutral
365,thanks hint httptinyurlcomchtxe,neutral
366,u welcome babe kill show yuuupp,neutral
367,hey candis,neutral
368,never good stereotypical teen,neutral
369,love maitu n love me happy mother day mama,negative
370,sorry,positive
371,want go singapore mother seems,negative
372,jb front factor x wooh contest timeee,neutral
373,u arent going chicago,negative
374,problem wih pizzaii love muchim addicted pizza dot dot curve ,negative
375,tired,neutral
376,lovely breakfast mumyummy pancake,neutral
377,yay fun,neutral
378,thank you u mamis bringin sexy back,neutral
379,lucky thats awesome,positive
380,oh god moth living  power outlet actually powersquid,negative
381,craving burrito boy  large halibut everything it jalepenos  line hot sauce anybody hook up,neutral
382,oh time real,neutral
383,well pay sale taxgreat even worse mom pop business double pay business licenses,neutral
384,love much called him talking fan love lot mitchel ill see u el cajon june ,neutral
385,miss bed sleepy,neutral
386,woo two day till awesome gig one day till uni finished  day gigs yp,neutral
387,tv internet make catherine something something,neutral
388,anyone advice need it,neutral
389,found mj mouse flat djs course none left size,neutral
390,im dreading hearing even worse news tonight,negative
391,whole  followers  actual people dont know write anymore,neutral
392,haappy bank holiday  weeeeks aah,neutral
393,thought licensing store bc take away experience want provide,positive
394,amichael doesnt look like youre tired pic dont work hard,neutral
395,slept littlewell lot whooops,neutral
396,say new layout cute x see cuties  hahahah httpplurkcompsuqp,neutral
397,good night rob sleep well safe travel tomorrow,neutral
398,know suck data plan weak sauce,neutral
399,well making beds creating noise  cleaning cleaning day long music  smile x,neutral
400,bit new scientist week last weeks watership,neutral
401,dear oh dear,neutral
402,monday running fast,negative
403,playing old school playground still except lame  got rid tire swing,positive
404,happy mommahs day mom httpplurkcompstqya,neutral
405,cal work orhehe mind gutter im sittin doin student loan thing,neutral
406,lol  could written  would good  monday week might catch x,neutral
407,youre surrounded them official niecesnephews yet,negative
408,cant wait dte michigan summer guy great look customized nkotb track jacket,neutral
409,nope fifth generation ipod classic like dumb,positive
410,meeting overrated,neutral
411,love smell procrastination morning oder so,negative
412,considered nurse younger really dont think could cope baby died,neutral
413,know definitely going try see weekend,neutral
414,nice,positive
415,oh no must gettin old mom use watch showi miss,neutral
416,lol totally made laugh made day,positive
417,tonight fun,negative
418,creepy guy walking dog ive fill creeper day,neutral
419,good morning took longest shower ive ever taken life like   min shower woah lol,neutral
420,facebook,neutral
421,get drive dad airport fly vega wsop wanna go vegas,positive
422,franco made breakfast mom hes trying cut strawberry only safe knife fb httptwitpiccomwsmw,neutral
423,httptwitpiccomwh better person send u this feel like mouse the american tail  ri,neutral
424,allergy sun out wearing shorts stuck advisory whole day boring except fun people make fun,neutral
425,thank you know happy sad all time know that youve got the right stuff,negative
426,merchant agree teenage daughter spending money movie concert week,neutral
427,someone soon lucky recipient th tweet oh wait  it,positive
428,good morning went bed feel already morninggoes fast going gym soon nice day,negative
429,one governor one director company,neutral
430,internet week longer,neutral
431,jesus christ meadowhall could better air con hot,neutral
432,listening pnk tunage trying teach cat dance it think shes getting backing dancer next tour,neutral
433,sure,neutral
434,getting ready work sun shining plus its we bgt tonight gonna its finished,neutral
435,aztec mask harder thought u kno what think pretty good job artist,negative
436,listenin old school new found glory hedro gimi high school band load besides home grown,neutral
437,kelly kelly pay bill   kaden pay em   want follow him lol dosent get pay bill,neutral
438,want gooo,neutral
439,evryone come httpwwwblogtvcompeopleginanicole spamming much blogtv glitching might work,neutral
440,ready tomorrow mommy get gift mothers day hope love it,negative
441,ugh fun concert screen cracked phone fell ,neutral
442,take backstreet boya put silk mc hammer pant sgt peppersbeatles coat lame music smap,neutral
443,happy vstudio shortcut backkk,neutral
444,cant wait hear evp cuuuute picture,neutral
445,headed verizon praying pinkberry going make it,negative
446,awaiting reply two projects one cancelled,positive
447,coco still,neutral
448,watched belong me lovely sister  kiddin,neutral
449,hello howd ur saturday go,neutral
450,arent showing spymaster screen,neutral
451,well sacramento hope appreciate rivkah sas  treat well ill sitting omaha pouting,neutral
452,leaving beach  great day vicente  needed time together,negative
453,got caught rain sand monsoon way home even though looked like complete idiot,neutral
454,left  already miss nashville back sunday,neutral
455,going bed cavs game dont judge lol,neutral
456,youre busy bob im jealous im sure even afford go meet john de lancie leonard nimoy,neutral
457,living country government always circus show  sad true,neutral
458,went twitter crazy last nigh p well thats happens u got nothin ta  oclock da mornin,neutral
459,want chocolate,neutral
460,httptwitpiccomjar  tell me love someone like this,neutral
461,yep im going better,negative
462,fun had,neutral
463, nose stud fell cant find look like ill head amsterdam today get new one,neutral
464,byspork shall see,neutral
465,other excellent analogy,neutral
466,good morning tweeps busy am working way,neutral
467,lmao im joking mate,neutral
468,follow baby u said n da chat u luv ya goodnite,neutral
469,busy work must run traffic bad,neutral
470,got rad new tshirt aunt made cool shiny shiny pink material,neutral
471,awesome talk find true watching ruby community closely,neutral
472,f hour guess sleepin living room,neutral
473,hahaha niene ur soo smart lmao think by good lookin whts gurlie come home weekend,neutral
474,httptwitpiccomoz  happens model,neutral
475,hereby announce am employed couldnt happier alhamdulillah,neutral
476,juz registered cp twitter tweet wont go thru arghhmm wanna follow idol lyk away pc,positive
477,speakingspeaking ,neutral
478,paid bill go mailbox find,neutral
479,could would require today duvet day imagine outfit wendyhouse photo worthy,neutral
480,glad hear made out hear place used its country looking forward arrival,neutral
481,found swing set sale  block home super cheap want  kid one answering phone  listed,negative
482,many farewell parties sad see people leaving ,negative
483, still pity come lamb though,neutral
484,ive got cup gotta come get,neutral
485,take that take that faces robbie won,neutral
486,reason wonder love,neutral
487,happy birthday ness,neutral
488,wow really hope get better asthma suck,negative
489,feel my cousin monkey httpplurkcompxpa,negative
490,charlie chocolate factory mood johnny depp bed preparing   hour wok day tomorrow,positive
491,wasnt layers absolute positioned divs web compability killer,neutral
492,dont hate youre left one slice bread left bag half sandwich,neutral
493,love random act kindness laughter,negative
494,gha work  hopefully traffic cleared time get there,neutral
495,watched another episode jonas better hannah montana much true,neutral
496,going meet new family im babysitting for wish still sleeeeping,neutral
497,hi heather dont know why saw message april twitter friendly,neutral
498,cant belive one episode go ,neutral
499,also watch family guy online wwwfancastcom yes total shill,positive
500,know right poorpoor girl show shouldnt put young people competition like though  ,neutral
501,excited  people reservation morning  lovin halo right sure,neutral
502,wowie wooie someone updated twitter without remind you im even madim impressed lasagna ,neutral
503,today another good day le extreme experiences anyone fan  im watching season ,neutral
504,going tonight never wrote back info im sososo sad,negative
505,still  im sick sick,neutral
506,collins im sure understand twitter thing works,negative
507,wat stressful week jus hope everything fall place me,neutral
508,hubby dentist ready hold hand getting nervy potentially buying car tomorrow,neutral
509,aww got see st grade teachers last day retired,neutral
510,sure continue tweet conf call worrying cat bee,negative
511,lol made huge mess school shirt using charcoal stick d art,neutral
512,b finished,neutral
513,bgt made cry tonight,negative
514,gawww facebook slow,neutral
515,im cool cant wait hear story xoxo,neutral
516,bird poo update managed clean slight stainage remains tips,negative
517,also conviced happy dance told adorable happy dance ever,negative
518,day til nyc journey soon begins music baby,neutral
519,feel love pizza girl eat pizza everyday,negative
520,  way early anyway nigth night love you,negative
521,say please reply dougie it double dare,neutral
522,im either went snicker although enjoying listening rr beer,neutral
523,hey esmee u doing,neutral
524,muahahahhahaha well maybe think im crazy something havent scared yet though,neutral
525,nopenot drunksometimes think maybe shouldthen maybe twitter would make sense ya know,neutral
526,today got pop tshirt  love ittt haha x,neutral
527,epicentre wheelock place  tourist only,neutral
528,perfect night best month life far boo,neutral
529,yayy youll help im english homework holiday ,neutral
530,hi ya demi im glad ur back httptwitpiccomvuuy personally love picture haha,negative
531,think tour england dont got see aweomse people ,neutral
532,puke mouth brilliant response  pant httptinyurlcomcyzy top wrong,neutral
533,good morning haha read swine flu probably comes pig all people poor pig got blame,neutral
534,bummed outi dont even one testimonial flickr,neutral
535,sorry feeling way,neutral
536,yeah prom night craft good movie,neutral
537,flu swinishone flu,neutral
538,dont go logan square were pretty sure shirt isnt  philly local tmrw,neutral
539,see floor make offer let know dont receive call soon,negative
540,sending healthy healing thought mumborgs direction,positive
541,prom ha chinese iced chai old school pokemon good night,neutral
542,prayer family dog  mozart put afternoon pic httptinyurlcommozartdog,neutral
543,went short flight around geelong waterfront surprised well handled it im still exhausted last week meetup,neutral
544, ill keep yall prayer welcome back tx hope goodsafe flight,neutral
545,good morning scary world,neutral
546,back working auditing away time make hard decision happy,positive
547, ummmm comment lol actually watched gh week,neutral
548,think u enough friend now including lol,neutral
549,zsnagy present httpwwwnordugridorgmanualshtml,neutral
550,layne hmm whats ur fav movie tv shows,neutral
551, gonna first twitter  cause amazing lol come canada would anything see perform,neutral
552,thankfully face show photoshoots,neutral
553,dont worry bizarre find,neutral
554,sorry  failed grasp meaning,neutral
555,walker sadly no ill going killumbus show really want one want drive,neutral
556,morning lou housework im church,neutral
557,extremely happy see new track the awakening featured indivibe httpwwwindivibecomvibephpcity,positive
558,hahaha n im u,neutral
559,love mom happy mothers day mommy,negative
560,chilling mcfly last night absoulutely incredible d love them,neutral
561,god cant asylum really never get anything cool,neutral
562,got fight kicked bar least knocked out fat lip though pulled another number,negative
563,working mother day slideshow cake card balloon deserves best,negative
564,early bird get worm case birder get witness carnage,neutral
565,eatout,neutral
566,thanks hope good one,neutral
567, too thanks completing calvin appreciated,neutral
568,morning everyone sorry going early last night bad news felt totally  today new day,negative
569,wow new google icon suck httpbitlyzjie,negative
570,hahah best thank god terry laughing hard miss remember racing truck ,positive
571,tell people contact people,neutral
572,kill jasmine havent talked ages,neutral
573,got awesome hair cut todayyyy look hottt haha homework,neutral
574,youre never alone think one cares realize there always one person care,negative
575,someones sweet tooth dying somethin sweet ive attacked chock coated tiny teddy could find lol,neutral
576,applemouse doesnt work shiny red coffee table,neutral
577, commentary  her sad sad,negative
578,yet another good weekend someone sigh man like boy,neutral
579,head strand goodnight,neutral
580,every day life lately feel ya girl ,negative
581,hiya looking you,neutral
582,aw stinks im sorry,neutral
583,trying recover broken heartyet nd rd time,neutral
584,ach probably not labeled mi believe name used aired bbc america,positive
585,ha find out thing google came database acronym dibbs front seat aka shotgun,neutral
586,witty yes francebelgium good carnt belive much traffic hit way back,neutral
587,comp slo w,neutral
588,didnt send text,neutral
589,oh mannn im gonna tomorroww,neutral
590, unfortunately not take repair shop replace it,neutral
591, come vietnam make live show miley much fan love viet nam,neutral
592,you guy could fun cardboard box miss already bro,neutral
593,little twitter mention snl,positive
594,josies surgery shes officially unable procreate shes way it poor medicated baby,neutral
595,signed account political website could post comment isnt working,positive
596,nigerianboi thanks jt also enjoyed will r u following me ill follow u back,neutral
597,mum lost grangemouth utter hilarity totally lost,neutral
598,sorry femaleatl lonely,positive
599,feeling awful new medication making nauseous,neutral
600,inooo arent wanna go meet kyle again im obsessed fair,neutral
601,need bear hug im going camp today,neutral
602,could id send california sunshine way,neutral
603,need present mom could anybody help ,neutral
604,weirton julie way north tippy top lol dont think southern wv folk like u much,neutral
605,learning use twitter,neutral
606,bad mood dont feel good bad one care,positive
607,love much got hiding spot gonna go check datalounge,neutral
608, try one,neutral
609,youre diabetic dad  might too sure still allowed eat sugar throughout day,positive
610,really want sleep butmy eye wont let,negative
611,check yourz rayne,neutral
612, havent slipon years since checkered days matter fact torn black classics,neutral
613,ian going matinee tomorrow thats plan leastits going expensive d night,negative
614,le hour,neutral
615,know work boring prefer take life,negative
616,gmorning hermana thank testimonial wonderful posted already,neutral
617,ha nothing man right mother day except taking kid mums hand whole day,negative
618,ahhh  whatchu talkin baby hahaha cant believe youuo heh actually can life worth taking risks httptumblrcomxsqys,positive
619,raid leader made u run drill practice switching,negative
620,clang rocks youre using it right anyways according comment its apples gcc too dunno public tho,neutral
621,unlike cierra look like poop today whatevahh lol,neutral
622,enjoy hanami picnic cherry tree park hope weather stay nice,neutral
623,comp deleted half apps,neutral
624,whin park swings victory mine right,neutral
625,well would seem enter nine  individual without ssnitin ein according apple hurray,neutral
